1.0000000000000000e+00	9.5474877755074239e-01	4.1148922791593982e-02	3.0203756464065884e-01	1.2924304534644990e-04
5.0000000000000000e-01	4.6521536786817974e-01	1.0384162981908361e-02	1.4594850845415649e-01	8.1228969351920793e-06
2.5000000000000000e-01	2.2576522330766230e-01	2.6021329181784565e-03	7.2364161736208063e-02	5.0838982912360098e-07
1.2500000000000000e-01	1.1071442712907162e-01	6.5091452191645683e-04	3.6108371251007514e-02	3.1785446164001023e-08
6.2500000000000000e-02	5.4759885220523538e-02	1.6275246956376496e-04	1.8045163583862652e-02	1.9867677503171417e-09
3.1250000000000000e-02	2.7223843993027901e-02	4.0689607466726223e-05	9.0214669913566397e-03	1.2417233907768829e-10
1.5625000000000000e-02	1.3572061241774454e-02	1.0172494995908108e-05	4.5105949852486385e-03	7.7593487191052174e-12
7.8125000000000000e-03	6.7759615493800922e-03	2.5431295684885664e-06	2.2552802322007843e-03	5.2124971006151089e-13
3.9062500000000000e-03	3.3854505614956390e-03	6.3578278308717973e-07	1.1276379619860053e-03	1.8651746813702627e-14
1.9531250000000000e-03	1.6920911118634137e-03	1.5894568172747367e-07	5.6381871195321221e-04	1.1390888232654104e-13
9.7656250000000000e-04	8.4588681193076254e-04	3.9736505863530163e-08	2.8190932259064544e-04	3.7914116290949086e-13
4.8828125000000000e-04	4.2290369492570246e-04	9.9344108495102984e-09	1.4095465727848031e-04	9.0927265716800300e-13
2.4414062500000000e-04	2.1144191669031359e-04	2.4829207578846986e-09	7.0477327123508169e-05	6.0618177144533537e-13
1.2207031250000000e-04	1.0571847451523728e-04	6.2027560865374188e-10	3.5238664471415320e-05	3.0313529464365266e-12
