Iteraciones    	 Bisección     	     Regula_Falsi   	   Fixedpoint     	      Newton_Rapshon   
56	0.0000000000000000e+00	0.0000000000000000e+00	1.3431903019657436e-03	0.0000000000000000e+00
57	0.0000000000000000e+00	0.0000000000000000e+00	1.2342194280736945e-03	0.0000000000000000e+00
58	0.0000000000000000e+00	0.0000000000000000e+00	1.1341005310924650e-03	0.0000000000000000e+00
59	0.0000000000000000e+00	0.0000000000000000e+00	1.0421127752306453e-03	0.0000000000000000e+00
60	0.0000000000000000e+00	0.0000000000000000e+00	9.5759429947391765e-04	0.0000000000000000e+00
61	0.0000000000000000e+00	0.0000000000000000e+00	8.7993734964408995e-04	0.0000000000000000e+00
62	0.0000000000000000e+00	0.0000000000000000e+00	8.0858381895976771e-04	0.0000000000000000e+00
63	0.0000000000000000e+00	0.0000000000000000e+00	7.4302116177880960e-04	0.0000000000000000e+00
64	0.0000000000000000e+00	0.0000000000000000e+00	6.8277864842054630e-04	0.0000000000000000e+00
65	0.0000000000000000e+00	0.0000000000000000e+00	6.2742393185880540e-04	0.0000000000000000e+00
66	0.0000000000000000e+00	0.0000000000000000e+00	5.7655989969356350e-04	0.0000000000000000e+00
67	0.0000000000000000e+00	0.0000000000000000e+00	5.2982178717130338e-04	0.0000000000000000e+00
68	0.0000000000000000e+00	0.0000000000000000e+00	4.8687452916241640e-04	0.0000000000000000e+00
69	0.0000000000000000e+00	0.0000000000000000e+00	4.4741033094407751e-04	0.0000000000000000e+00
70	0.0000000000000000e+00	0.0000000000000000e+00	4.1114643939327614e-04	0.0000000000000000e+00
71	0.0000000000000000e+00	0.0000000000000000e+00	3.7782309778711288e-04	0.0000000000000000e+00
72	0.0000000000000000e+00	0.0000000000000000e+00	3.4720166886342607e-04	0.0000000000000000e+00
73	0.0000000000000000e+00	0.0000000000000000e+00	3.1906291210600818e-04	0.0000000000000000e+00
74	0.0000000000000000e+00	0.0000000000000000e+00	2.9320540242370433e-04	0.0000000000000000e+00
75	0.0000000000000000e+00	0.0000000000000000e+00	2.6944407848145411e-04	0.0000000000000000e+00
76	0.0000000000000000e+00	0.0000000000000000e+00	2.4760890994123208e-04	0.0000000000000000e+00
77	0.0000000000000000e+00	0.0000000000000000e+00	2.2754367377287503e-04	0.0000000000000000e+00
78	0.0000000000000000e+00	0.0000000000000000e+00	2.0910483063060908e-04	0.0000000000000000e+00
79	0.0000000000000000e+00	0.0000000000000000e+00	1.9216049304117720e-04	0.0000000000000000e+00
80	0.0000000000000000e+00	0.0000000000000000e+00	1.7658947784636043e-04	0.0000000000000000e+00
81	0.0000000000000000e+00	0.0000000000000000e+00	1.6228043596753600e-04	0.0000000000000000e+00
82	0.0000000000000000e+00	0.0000000000000000e+00	1.4913105314481157e-04	0.0000000000000000e+00
83	0.0000000000000000e+00	0.0000000000000000e+00	1.3704731582443085e-04	0.0000000000000000e+00
84	0.0000000000000000e+00	0.0000000000000000e+00	1.2594283685608449e-04	0.0000000000000000e+00
85	0.0000000000000000e+00	0.0000000000000000e+00	1.1573823610234011e-04	0.0000000000000000e+00
86	0.0000000000000000e+00	0.0000000000000000e+00	1.0636057146685105e-04	0.0000000000000000e+00
87	0.0000000000000000e+00	0.0000000000000000e+00	9.7742816220578986e-05	0.0000000000000000e+00
88	0.0000000000000000e+00	0.0000000000000000e+00	8.9823378841927783e-05	0.0000000000000000e+00
89	0.0000000000000000e+00	0.0000000000000000e+00	8.2545661900907094e-05	0.0000000000000000e+00
90	0.0000000000000000e+00	0.0000000000000000e+00	7.5857656802934200e-05	0.0000000000000000e+00
91	0.0000000000000000e+00	0.0000000000000000e+00	6.9711571465767581e-05	0.0000000000000000e+00
92	0.0000000000000000e+00	0.0000000000000000e+00	6.4063488248605513e-05	0.0000000000000000e+00
93	0.0000000000000000e+00	0.0000000000000000e+00	5.8873049665155035e-05	0.0000000000000000e+00
94	0.0000000000000000e+00	0.0000000000000000e+00	5.4103169622105458e-05	0.0000000000000000e+00
95	0.0000000000000000e+00	0.0000000000000000e+00	4.9719768103546082e-05	0.0000000000000000e+00
96	0.0000000000000000e+00	0.0000000000000000e+00	4.5691527393341869e-05	0.0000000000000000e+00
97	0.0000000000000000e+00	0.0000000000000000e+00	4.1989668085039439e-05	0.0000000000000000e+00
98	0.0000000000000000e+00	0.0000000000000000e+00	3.8587743269825680e-05	0.0000000000000000e+00
99	0.0000000000000000e+00	0.0000000000000000e+00	3.5461449423686951e-05	0.0000000000000000e+00
100	0.0000000000000000e+00	0.0000000000000000e+00	3.2588452639931206e-05	0.0000000000000000e+00
